Rk,Year,SeasGame,AgeYrs,Tm,Home,Opp,Result,MannSc,OppSc,Start,Cmp,Att,CmpPct,Yds,TD,Int,Rate,Sk
199,2010,7,34,IND,1,HOU,W,30,17,1,26,45,57.78,268,2,0,89.9,1
200,2010,8,34,IND,0,PHI,L,24,26,1,31,51,60.78,294,1,2,67,3
201,2010,9,34,IND,1,CIN,W,23,17,1,20,36,55.56,185,0,0,69.8,2
202,2010,10,34,IND,0,NWE,L,28,31,1,38,52,73.08,396,4,3,96.3,0
203,2010,11,34,IND,1,SDG,L,14,36,1,31,48,64.58,285,2,4,59.8,1
204,2010,12,34,IND,1,DAL,L,35,38,1,36,48,75,365,2,4,75.4,0
205,2010,13,34,IND,0,TEN,W,30,28,1,25,35,71.43,319,2,0,118.6,1
206,2010,14,34,IND,1,JAX,W,34,24,1,29,39,74.36,229,2,0,105.6,1
207,2010,15,34,IND,0,OAK,W,31,26,1,16,30,53.33,179,3,2,76.9,0
208,2010,16,34,IND,1,TEN,W,23,20,1,27,41,65.85,264,2,0,100.1,1
209,2012,1,36,DEN,1,PIT,W,31,19,1,19,26,73.08,253,2,0,129.2,2
210,2012,2,36,DEN,0,ATL,L,21,27,1,24,37,64.86,241,1,3,58.5,3
211,2012,3,36,DEN,1,HOU,L,25,31,1,26,52,50,330,2,0,83,3
212,2012,4,36,DEN,1,OAK,W,37,6,1,30,38,78.95,338,3,0,130,0
213,2012,5,36,DEN,0,NWE,L,21,31,1,31,44,70.45,337,3,0,115.4,2
214,2012,6,36,DEN,0,SDG,W,35,24,1,24,30,80,309,3,1,129,0
215,2012,7,36,DEN,1,NOR,W,34,14,1,22,30,73.33,305,3,0,138.9,0
216,2012,8,36,DEN,0,CIN,W,31,23,1,27,35,77.14,291,3,2,105.8,0
217,2012,9,36,DEN,0,CAR,W,36,14,1,27,38,71.05,301,1,0,103.1,1
218,2012,10,36,DEN,1,SDG,W,30,23,1,25,42,59.52,270,3,1,92.4,3
219,2012,11,36,DEN,0,KAN,W,17,9,1,22,37,59.46,285,2,1,90.5,2
220,2012,12,36,DEN,1,TAM,W,31,23,1,27,38,71.05,242,3,1,103.2,0
221,2012,13,36,DEN,0,OAK,W,26,13,1,26,36,72.22,310,1,1,95.8,3
222,2012,14,36,DEN,0,BAL,W,34,17,1,17,28,60.71,204,1,0,94.9,2
223,2012,15,36,DEN,1,CLE,W,34,12,1,30,43,69.77,339,3,1,106.6,0
224,2012,16,36,DEN,1,KAN,W,38,3,1,23,29,79.31,304,3,0,144.8,0
225,2013,1,37,DEN,1,BAL,W,49,27,1,27,42,64.29,462,7,0,141.1,3
226,2013,2,37,DEN,0,NYG,W,41,23,1,30,43,69.77,307,2,0,105.5,0
227,2013,3,37,DEN,1,OAK,W,37,21,1,32,37,86.49,374,3,0,135.8,1
228,2013,4,37,DEN,1,PHI,W,52,20,1,28,34,82.35,327,4,0,146,1
229,2013,5,37,DEN,0,DAL,W,51,48,1,33,42,78.57,414,4,1,129.6,0
230,2013,6,37,DEN,1,JAX,W,35,19,1,28,42,66.67,295,2,1,92.9,0
231,2013,7,37,DEN,0,IND,L,33,39,1,29,49,59.18,386,3,1,96.1,4
232,2013,8,37,DEN,1,WAS,W,45,21,1,30,44,68.18,354,4,3,94.3,2
233,2013,9,37,DEN,0,SDG,W,28,20,1,25,36,69.44,330,4,0,135.2,2
234,2013,10,37,DEN,1,KAN,W,27,17,1,24,40,60,323,1,0,94.1,0
235,2013,11,37,DEN,0,NWE,L,31,34,1,19,36,52.78,150,2,1,70.4,2
236,2013,12,37,DEN,0,KAN,W,35,28,1,22,35,62.86,403,5,2,118.2,0
